date,value
2026-01-01,203.74
2026-01-03,206.86
2026-01-05,210.24
2026-01-07,213.56
2026-01-09,217.40
2026-01-11,221.18
2026-01-13,225.17
2026-01-15,228.35
2026-01-17,231.88
2026-01-19,235.01
2026-01-21,238.33
2026-01-23,241.93
2026-01-25,245.06
2026-01-27,248.36
2026-01-29,252.11
2026-01-31,255.75
2026-02-02,259.07
2026-02-04,262.76
2026-02-06,266.67
2026-02-08,269.78
2026-02-10,273.68
2026-02-12,277.48
2026-02-14,280.92
2026-02-16,284.18
2026-02-18,288.23
2026-02-20,291.67
2026-02-22,294.86
2026-02-24,298.06
2026-02-26,302.01
2026-02-28,305.71
2026-03-02,309.62
2026-03-04,313.45
2026-03-06,317.08
2026-03-08,321.16
2026-03-10,324.64
2026-03-12,328.29
2026-03-14,332.22
2026-03-16,335.94
2026-03-18,339.90
2026-03-20,343.57
2026-03-22,347.38
2026-03-24,350.52
2026-03-26,353.85
2026-03-28,357.24
2026-03-30,360.42
2026-04-01,363.75
2026-04-03,366.96
2026-04-05,370.33
2026-04-07,374.07
2026-04-09,377.53
2026-04-11,381.00
2026-04-13,384.31
2026-04-15,387.68
2026-04-17,391.72
2026-04-19,395.47
2026-04-21,399.17
2026-04-23,402.45
2026-04-25,406.27
2026-04-27,409.54
2026-04-29,413.02
